Date,Hours
2026-05-23,8.0
2026-05-24,6
2026-05-25,6
2026-05-26,6
2026-05-27,6.0
2026-05-28,8.0
2026-05-29,8.0
2026-05-30,6
2026-05-31,6
2026-06-01,6
2026-06-02,6
2026-06-03,8.0
2026-06-04,8.0
2026-06-04,6
2026-06-05,6
2026-06-06,6
2026-06-07,6
2026-06-08,6.0
2026-06-10,8.0
2026-06-11,8.0
2026-06-12,6
2026-06-13,6
2026-06-14,6
2026-06-15,6
2026-06-16,6
2026-06-17,8.0
2026-06-18,8
2026-06-19,6
2026-06-20,6
2026-06-21,6
2026-06-22,6
2026-06-23,6
2026-06-24,8
2026-06-25,8
2026-06-26,6
2026-06-27,6
2026-06-28,6
2026-06-29,6
2026-06-30,6
2026-07-01,8
2026-07-02,8.0
2026-07-03,4
2026-07-04,4
2026-07-05,4
2026-07-06,4
2026-07-07,4
2026-07-08,8
2026-07-09,8.0
2026-07-10,4
2026-07-11,4
2026-07-12,4
2026-07-13,4
2026-07-14,8
2026-07-15,8
2026-07-16,6.0
2026-07-17,4
2026-07-18,4
2026-07-19,4
2026-07-20,4
2026-07-21,2
2026-07-22,10.5
2026-07-23,8.0
2026-07-24,4
2026-07-25,6
2026-07-26,7
2026-07-27,6
2026-07-28,7
2026-07-29,9
2026-07-30,8.0
